id,name,latitude,longitude,time_zone,reference_point,source
"1","熊野古道・紀伊山地","33.83694444","135.7763889","Asia/Tokyo","世界遺産の登録地点","https://whc.unesco.org/en/list/1142/maps/"
"3","Great Burkhan Khaldun","48.7619777778","109.0093277778","Asia/Ulaanbaatar","世界遺産の登録地点","https://whc.unesco.org/en/list/1440/maps/"
"4","Risco Caído","28.0443888889","-15.6611944444","Atlantic/Canary","世界遺産の登録地点","https://whc.unesco.org/en/list/1578/maps/"
"5","Wixárika Route to Wirikuta","23.540469444444447","-101.10703888888888","America/Mexico_City","ウィリクタのムクヤウエ","https://whc.unesco.org/en/list/1704/maps/"
"6","Sulaiman-Too","40.5311111111","72.7827777778","Asia/Bishkek","世界遺産の登録地点","https://whc.unesco.org/en/list/1230/maps/"
"8","Langkawi Geopark","6.4051","99.8583","Asia/Kuala_Lumpur","キリムの船着場","https://www.kedah.gov.my/wp-content/uploads/2024/10/Daerah-Langkawi_Brochure-Design.pdf"
"9","Dambulla Cave Temple","7.856666667","80.64916667","Asia/Colombo","世界遺産の登録地点","https://whc.unesco.org/en/list/561/maps/"
"10","Lake Saimaa","61.194573494","28.557257047","Europe/Helsinki","サタモサーリ島","https://saimaageopark.fi/en/satamosaari-glaciofluvial-deposit/"
"11","伊豆半島","34.903167","139.094469","Asia/Tokyo","大室山","https://opendata.pref.shizuoka.jp/dataset/8022/resource/43176/content.html"
"12","Mangystau Rock Mosques","43.59713333333334","54.07015833333334","Asia/Aqtau","ベケット・アタ","https://whc.unesco.org/en/list/1760/maps/"
"13","Gobustan","40.125","49.375","Asia/Baku","世界遺産の登録地点","https://whc.unesco.org/en/list/1076/maps/"
"14","Tsodilo","-18.75","21.73333333","Africa/Gaborone","世界遺産の登録地点","https://whc.unesco.org/en/list/1021/maps/"
"16","済州島","33.4688888889","126.7202777777","Asia/Seoul","世界遺産の登録地点","https://whc.unesco.org/en/list/1264/maps/"
"17","西湖（杭州）","30.2375","120.1408333333","Asia/Shanghai","世界遺産の登録地点","https://whc.unesco.org/en/list/1334/maps/"
"19","English Lake District","54.4766111111","-3.0824166667","Europe/London","世界遺産の登録地点","https://whc.unesco.org/en/list/422/maps/"
"20","St Kilda","57.81722222","-8.576666667","Europe/London","世界遺産の登録地点","https://whc.unesco.org/en/list/387/maps/"
"21","Vega Archipelago","65.61667","11.75","Europe/Oslo","世界遺産の登録地点","https://whc.unesco.org/en/list/1143/maps/"
"23","Sintra","38.78333","-9.41667","Europe/Lisbon","世界遺産の登録地点","https://whc.unesco.org/en/list/723/maps/"
"24","Osun-Osogbo Sacred Grove","7.75556","4.55222","Africa/Lagos","世界遺産の登録地点","https://whc.unesco.org/en/list/1118/maps/"
"25","平泉","39.0011111111","141.1077777778","Asia/Tokyo","世界遺産の登録地点","https://whc.unesco.org/en/list/1277/maps/"
"27","沖ノ島","34.245","130.1055555556","Asia/Tokyo","世界遺産の登録地点","https://whc.unesco.org/en/list/1535/maps/"
"29","桜島","31.592499999999998","130.65666666666667","Asia/Tokyo","御岳","https://www.data.jma.go.jp/vois/data/fukuoka/506_Sakurajima/506_index.html"
"30","諏訪湖","36.04722222","138.1108333","Asia/Tokyo","諏訪湖畔","https://www.mlit.go.jp/river/kankyo/main/kankyou/machizukuri/map/chubu/suwa_ko.html"
"31","出雲大社","35.40208333333333","132.68555555555557","Asia/Tokyo","出雲大社","https://kojiki.kokugakuin.ac.jp/jinjya/izumotaisha-izumoooyashiro%EF%BC%88kitsukitaisha%EF%BC%89/"
"32","千里浜なぎさドライブウェイ","36.8661","136.7584","Asia/Tokyo","千里浜沿い","https://www.kyorikeisan.com/ido-keido-kensaku/idotokeidonorekishi/71912.aspx"
"33","伊勢神宮","34.455111111111115","136.7258888888889","Asia/Tokyo","伊勢神宮・内宮","https://kojiki.kokugakuin.ac.jp/jinjya/isejingu-naiku%EF%BC%88kotaijingu%EF%BC%89/"
"39","プリトヴィツェ湖群国立公園","44.87778","15.61444","Europe/Zagreb","世界遺産の登録地点","https://whc.unesco.org/en/list/98/maps/"
"41","ヒエラポリス＝パムッカレ","37.92389","29.12333","Europe/Istanbul","世界遺産の登録地点","https://whc.unesco.org/en/list/485/maps/"
"42","武陵源","29.33333","110.5","Asia/Shanghai","世界遺産の登録地点","https://whc.unesco.org/en/list/640/maps/"
"44","サマルカンド","39.66861","67","Asia/Samarkand","世界遺産の登録地点","https://whc.unesco.org/en/list/603/maps/"
"45","ソコトラ諸島","12.5","53.8333333333","Asia/Aden","世界遺産の登録地点","https://whc.unesco.org/en/list/1263/maps/"
"46","ホイアン旧市街","15.88333333","108.3333333","Asia/Ho_Chi_Minh","世界遺産の登録地点","https://whc.unesco.org/en/list/948/maps/"
"48","屋久島","30.315","130.5086111111","Asia/Tokyo","世界遺産の登録地点","https://whc.unesco.org/en/list/662/maps/"
"49","白神山地","40.4525","140.1155555556","Asia/Tokyo","世界遺産の登録地点","https://whc.unesco.org/en/list/663/maps/"
"51","カッパドキア","38.66667","34.85","Europe/Istanbul","世界遺産の登録地点","https://whc.unesco.org/en/list/357/maps/"
"52","ワディ・ラム","29.6397222222","35.4338888889","Asia/Amman","世界遺産の登録地点","https://whc.unesco.org/en/list/1377/maps/"
"53","フィリピン・コルディリェーラの棚田群","16.93389","121.13667","Asia/Manila","世界遺産の登録地点","https://whc.unesco.org/en/list/722/maps/"
"54","麗江古城","26.86667","100.23333","Asia/Shanghai","世界遺産の登録地点","https://whc.unesco.org/en/list/811/maps/"
"55","ラム旧市街","-2.284444444","40.8525","Africa/Nairobi","世界遺産の登録地点","https://whc.unesco.org/en/list/1055/maps/"
"56","ブリッゲン","60.39722","5.32306","Europe/Oslo","世界遺産の登録地点","https://whc.unesco.org/en/list/59/maps/"
"58","オフリド湖と旧市街","40.9918333333","20.7041666667","Europe/Skopje","世界遺産の登録地点","https://whc.unesco.org/en/list/99/maps/"
"59","オカバンゴ・デルタ","-19.2833333333","22.9","Africa/Gaborone","世界遺産の登録地点","https://whc.unesco.org/en/list/1432/maps/"
"60","ヴァル・ドルチャ","43.06666667","11.55","Europe/Rome","世界遺産の登録地点","https://whc.unesco.org/en/list/1026/maps/"
"61","トンガリロ国立公園","-39.29083333","175.5622222","Pacific/Auckland","世界遺産の登録地点","https://whc.unesco.org/en/list/421/maps/"
"62","イルリサット・アイスフィヨルド","69.13333333","-49.5","America/Nuuk","世界遺産の登録地点","https://whc.unesco.org/en/list/1149/maps/"
"63","高千穂峡","32.700833","131.300556","Asia/Tokyo","高千穂峡の撮影地点","https://commons.wikimedia.org/wiki/File:Takachiho-gorge.jpg"
"64","倉敷美観地区","34.59655","133.77252","Asia/Tokyo","倉敷美観地区","https://mapcarta.com/W503301965"
"65","鳥取砂丘","35.540502","134.237431","Asia/Tokyo","鳥取砂丘の撮影地点","https://commons.wikimedia.org/wiki/File:Tottori_Sand_Dunes.jpg"
"66","星峠の棚田","37.12433611111111","138.52879444444446","Asia/Tokyo","星峠の撮影地点","https://commons.wikimedia.org/wiki/File:Hoshitoge_Rice_Terraces_1.jpg"
"69","伊根の舟屋","35.67442","135.29097","Asia/Tokyo","伊根浦の舟屋群","https://mapcarta.com/N3693807453"
"70","しまなみ海道","34.25973","133.06429","Asia/Tokyo","多々羅大橋","https://mapcarta.com/28406226"
"71","九寨溝","33.08333","103.91667","Asia/Shanghai","世界遺産の登録地点","https://whc.unesco.org/en/list/637/maps/"
